Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
170,147,67,1.45,729,Yoga,23.1,1.8,4,2,26.3
169,142,65,1.11,915,HIIT,24.7,2.3,4,1,24.32
173,144,65,1.45,807,HIIT,23.0,3.0,2,1,23.33
182,139,65,1.22,860,Yoga,22.5,2.7,3,2,23.66
176,146,64,0.89,742,Yoga,24.0,3.1,4,2,23.65
171,139,64,0.89,699,Yoga,24.3,2.1,4,2,24.49
172,146,65,0.72,609,Cardio,23.3,1.8,3,2,22.82
173,142,65,0.99,788,Yoga,27.6,2.4,3,1,24.22
166,142,67,1.01,784,Yoga,25.8,2.7,3,2,24.39
175,144,68,1.36,696,Cardio,24.7,1.9,3,2,23.14
174,143,64,1.81,968,HIIT,22.0,2.4,3,2,23.39
178,146,66,1.1,667,HIIT,23.4,2.6,4,1,24.57
183,142,65,1.34,709,HIIT,24.6,2.5,3,2,25.09
171,144,64,1.21,816,HIIT,24.8,2.7,4,2,23.9
171,149,67,1.16,750,Strength,25.0,2.5,4,2,24.24
177,139,63,1.31,896,HIIT,24.6,2.7,3,1,23.37
169,140,67,1.51,784,Cardio,25.6,2.8,2,2,24.48
165,143,63,1.27,607,Strength,26.9,3.1,4,1,23.87
171,142,64,1.15,657,Yoga,21.1,2.3,3,1,24.42
178,138,67,1.64,978,Yoga,24.5,2.9,4,2,23.83
177,149,67,1.41,827,Strength,25.0,2.3,3,1,22.11
170,142,63,0.91,976,Cardio,26.3,2.2,4,2,24.27
176,141,62,1.39,766,Strength,25.9,2.6,3,2,24.84
169,145,64,1.15,820,Cardio,29.2,2.5,3,1,25.3
174,142,62,0.77,778,HIIT,23.6,2.6,3,2,26.02
174,143,67,1.33,729,Yoga,24.7,2.6,3,1,22.82
175,145,64,1.3,784,Strength,24.8,2.2,3,1,21.94
183,139,65,1.19,967,Strength,21.4,2.9,3,1,23.76
178,146,66,1.36,882,Cardio,23.4,2.5,3,1,24.38
173,145,64,1.11,723,Yoga,26.0,2.9,3,2,23.28
170,147,64,0.86,870,Strength,23.8,2.6,3,1,24.87
173,142,66,1.43,768,Cardio,26.4,1.8,4,1,24.69
173,145,65,1.1,770,Strength,24.8,2.4,4,2,22.07
170,145,66,1.5,844,Yoga,25.0,2.3,3,2,23.0
174,145,64,1.22,947,Yoga,25.0,2.6,3,2,22.21
182,142,61,1.61,764,Cardio,26.5,2.4,3,2,23.45
180,140,67,1.42,811,Cardio,25.9,2.4,3,2,24.42
173,141,65,1.35,833,Cardio,24.2,2.4,3,1,25.19
178,147,65,1.09,807,Cardio,25.7,3.0,4,2,23.17
181,145,64,1.1,733,Yoga,20.1,2.3,3,1,21.89
178,146,64,1.1,827,HIIT,27.6,2.2,3,1,23.92
174,143,62,1.43,868,Yoga,27.0,3.0,4,1,24.44
170,147,66,1.03,745,Cardio,23.9,2.2,3,2,25.23
175,150,64,1.16,733,HIIT,25.4,2.5,5,1,24.67
177,141,63,0.93,691,Yoga,24.6,2.4,4,2,23.0
175,143,66,1.01,839,Cardio,25.4,2.7,3,2,23.93
172,144,64,1.29,900,Cardio,26.6,3.0,3,1,23.71
177,144,63,1.21,986,Cardio,24.1,2.6,4,1,24.3
171,146,62,1.15,768,HIIT,25.2,2.0,4,1,23.75
179,146,61,1.57,702,HIIT,26.2,2.7,4,2,22.97
166,144,66,1.26,729,Strength,21.3,2.6,3,2,23.52
175,144,68,1.2,858,Strength,27.2,2.8,3,1,23.23
172,140,64,1.37,725,Strength,24.3,2.6,4,2,23.53
182,143,67,1.12,774,Yoga,28.3,2.5,4,1,23.56
175,148,64,0.9,781,Strength,25.0,2.3,4,1,23.57
